2023-01-19 17:31:53 [INFO] ...are/nvim/site/pack/packer/start/nvim-gdb/lua/nvimgdb.lua:23: 	"New session gdb"
2023-01-19 17:31:53 [DEBUG] ...te/pack/packer/start/nvim-gdb/lua/nvimgdb/breakpoint.lua:21: 	{ "function Breakpoint.new(", <1>{    config = {      codewin_command = "new",      jump_bottom_gdb_buf = true,      key_breakpoint = "<f8>",      key_continue = "<f5>",      key_eval = "<f9>",      key_finish = "<f12>",      key_framedown = "<c-n>",      key_frameup = "<c-p>",      key_next = "<f10>",      key_step = "<f11>",      key_until = "<f4>",      set_keymaps = <function 1>,      set_scroll_off = 5,      set_tkeymaps = <function 2>,      sign_breakpoint = { "●", "●²", "●³", "●⁴", "●⁵", "●⁶", "●⁷", "●⁸", "●⁹", "●ⁿ" },      sign_breakpoint_priority = 10,      sign_current_line = "▶",      sticky_dbg_buf = true,      termwin_command = "belowright new",      unset_keymaps = <function 3>    },    <metatable> = <2>{      __index = <table 2>,      _apply_overrides = <function 4>,      _check_keymap_conflicts = <function 5>,      _define_signs = <function 6>,      get = <function 7>,      get_or = <function 8>,      new = <function 9>    }  }, {    client = {      buf_hidden_auid = -1,      client_buf = 20,      command = "/home/lain/.local/share/nvim/site/pack/packer/start/nvim-gdb/lib/gdb_wrap.sh -a /tmp/nvimgdb-sock-84NrVp/port -- gdb -q a.out",      config = <table 1>,      has_interacted = false,      is_active = false,      proxy_addr = "/tmp/nvimgdb-sock-84NrVp/port",      sock_dir = "/tmp/nvimgdb-sock-84NrVp",      win = 1051,      <metatable> = <3>{        __index = <table 3>,        _check_sticky = <function 10>,        _cleanup_buf_hidden = <function 11>,        cleanup = <function 12>,        get_buf = <function 13>,        get_proxy_addr = <function 14>,        interrupt = <function 15>,        mark_has_interacted = <function 16>,        new = <function 17>,        send_line = <function 18>,        start = <function 19>      }    },    proxy_addr = "/tmp/nvimgdb-sock-84NrVp/port",    sock = <userdata 1>,    <metatable> = <4>{      __index = <table 4>,      _ensure_connected = <function 20>,      cleanup = <function 21>,      new = <function 22>,      query = <function 23>    }  }, <function 24>, ")" }
2023-01-19 17:31:53 [DEBUG] .../site/pack/packer/start/nvim-gdb/lua/nvimgdb/keymaps.lua:14: 	{ "function Keymaps.new(", {    config = {      codewin_command = "new",      jump_bottom_gdb_buf = true,      key_breakpoint = "<f8>",      key_continue = "<f5>",      key_eval = "<f9>",      key_finish = "<f12>",      key_framedown = "<c-n>",      key_frameup = "<c-p>",      key_next = "<f10>",      key_step = "<f11>",      key_until = "<f4>",      set_keymaps = <function 1>,      set_scroll_off = 5,      set_tkeymaps = <function 2>,      sign_breakpoint = { "●", "●²", "●³", "●⁴", "●⁵", "●⁶", "●⁷", "●⁸", "●⁹", "●ⁿ" },      sign_breakpoint_priority = 10,      sign_current_line = "▶",      sticky_dbg_buf = true,      termwin_command = "belowright new",      unset_keymaps = <function 3>    },    <metatable> = <1>{      __index = <table 1>,      _apply_overrides = <function 4>,      _check_keymap_conflicts = <function 5>,      _define_signs = <function 6>,      get = <function 7>,      get_or = <function 8>,      new = <function 9>    }  }, ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/cursor.lua:18: 	{ "function Cursor.new(", {    config = {      codewin_command = "new",      jump_bottom_gdb_buf = true,      key_breakpoint = "<f8>",      key_continue = "<f5>",      key_eval = "<f9>",      key_finish = "<f12>",      key_framedown = "<c-n>",      key_frameup = "<c-p>",      key_next = "<f10>",      key_step = "<f11>",      key_until = "<f4>",      set_keymaps = <function 1>,      set_scroll_off = 5,      set_tkeymaps = <function 2>,      sign_breakpoint = { "●", "●²", "●³", "●⁴", "●⁵", "●⁶", "●⁷", "●⁸", "●⁹", "●ⁿ" },      sign_breakpoint_priority = 10,      sign_current_line = "▶",      sticky_dbg_buf = true,      termwin_command = "belowright new",      unset_keymaps = <function 3>    },    <metatable> = <1>{      __index = <table 1>,      _apply_overrides = <function 4>,      _check_keymap_conflicts = <function 5>,      _define_signs = <function 6>,      get = <function 7>,      get_or = <function 8>,      new = <function 9>    }  }, ")" }
2023-01-19 17:31:53 [DEBUG] ...nvim/site/pack/packer/start/nvim-gdb/lua/nvimgdb/win.lua:27: 	{ "function Win.new(", <1>{    config = {      codewin_command = "new",      jump_bottom_gdb_buf = true,      key_breakpoint = "<f8>",      key_continue = "<f5>",      key_eval = "<f9>",      key_finish = "<f12>",      key_framedown = "<c-n>",      key_frameup = "<c-p>",      key_next = "<f10>",      key_step = "<f11>",      key_until = "<f4>",      set_keymaps = <function 1>,      set_scroll_off = 5,      set_tkeymaps = <function 2>,      sign_breakpoint = { "●", "●²", "●³", "●⁴", "●⁵", "●⁶", "●⁷", "●⁸", "●⁹", "●ⁿ" },      sign_breakpoint_priority = 10,      sign_current_line = "▶",      sticky_dbg_buf = true,      termwin_command = "belowright new",      unset_keymaps = <function 3>    },    <metatable> = <2>{      __index = <table 2>,      _apply_overrides = <function 4>,      _check_keymap_conflicts = <function 5>,      _define_signs = <function 6>,      get = <function 7>,      get_or = <function 8>,      new = <function 9>    }  }, {    config = <table 1>,    dispatch_active = true,    <metatable> = <3>{      __index = <table 3>,      _dispatch = <function 10>,      dispatch_set = <function 11>,      dispatch_set_t = <function 12>,      dispatch_unset = <function 13>,      new = <function 14>,      set = <function 1>,      set_dispatch_active = <function 15>,      set_t = <function 2>,      unset = <function 3>    }  }, {    buf = -1,    config = <table 1>,    line = -1,    sign_id = -1,    <metatable> = <4>{      __index = <table 4>,      hide = <function 16>,      new = <function 17>,      set = <function 18>,      show = <function 19>    }  }, <5>{    buf_hidden_auid = -1,    client_buf = 20,    command = "/home/lain/.local/share/nvim/site/pack/packer/start/nvim-gdb/lib/gdb_wrap.sh -a /tmp/nvimgdb-sock-84NrVp/port -- gdb -q a.out",    config = <table 1>,    has_interacted = false,    is_active = false,    proxy_addr = "/tmp/nvimgdb-sock-84NrVp/port",    sock_dir = "/tmp/nvimgdb-sock-84NrVp",    win = 1051,    <metatable> = <6>{      __index = <table 6>,      _check_sticky = <function 20>,      _cleanup_buf_hidden = <function 21>,      cleanup = <function 22>,      get_buf = <function 23>,      get_proxy_addr = <function 24>,      interrupt = <function 25>,      mark_has_interacted = <function 26>,      new = <function 27>,      send_line = <function 28>,      start = <function 29>    }  }, {    breaks = {},    config = <table 1>,    max_sign_id = 0,    proxy = {      client = <table 5>,      proxy_addr = "/tmp/nvimgdb-sock-84NrVp/port",      sock = <userdata 1>,      <metatable> = <7>{        __index = <table 7>,        _ensure_connected = <function 30>,        cleanup = <function 31>,        new = <function 32>,        query = <function 33>      }    },    query_impl = <function 34>,    <metatable> = <8>{      __index = <table 8>,      _set_signs = <function 35>,      clear_signs = <function 36>,      get_for_file = <function 37>,      new = <function 38>,      query = <function 39>,      reset_signs = <function 40>    }  }, 1000, 1, ")" }
2023-01-19 17:31:53 [DEBUG] ...nvim/site/pack/packer/start/nvim-gdb/lua/nvimgdb/win.lua:122: 	{ "function Win:_ensure_jump_window()" }
2023-01-19 17:31:53 [DEBUG] ...nvim/site/pack/packer/start/nvim-gdb/lua/nvimgdb/win.lua:71: 	{ "function Win:_has_jump_win()" }
2023-01-19 17:31:53 [DEBUG] ...ack/packer/start/nvim-gdb/lua/nvimgdb/parser_actions.lua:13: 	{ "function ParserActions.new(", <1>{    buf = -1,    config = <2>{      config = {        codewin_command = "new",        jump_bottom_gdb_buf = true,        key_breakpoint = "<f8>",        key_continue = "<f5>",        key_eval = "<f9>",        key_finish = "<f12>",        key_framedown = "<c-n>",        key_frameup = "<c-p>",        key_next = "<f10>",        key_step = "<f11>",        key_until = "<f4>",        set_keymaps = <function 1>,        set_scroll_off = 5,        set_tkeymaps = <function 2>,        sign_breakpoint = { "●", "●²", "●³", "●⁴", "●⁵", "●⁶", "●⁷", "●⁸", "●⁹", "●ⁿ" },        sign_breakpoint_priority = 10,        sign_current_line = "▶",        sticky_dbg_buf = true,        termwin_command = "belowright new",        unset_keymaps = <function 3>      },      <metatable> = <3>{        __index = <table 3>,        _apply_overrides = <function 4>,        _check_keymap_conflicts = <function 5>,        _define_signs = <function 6>,        get = <function 7>,        get_or = <function 8>,        new = <function 9>      }    },    line = -1,    sign_id = -1,    <metatable> = <4>{      __index = <table 4>,      hide = <function 10>,      new = <function 11>,      set = <function 12>,      show = <function 13>    }  }, {    breakpoint = {      breaks = {},      config = <table 2>,      max_sign_id = 0,      proxy = {        client = <5>{          buf_hidden_auid = -1,          client_buf = 20,          command = "/home/lain/.local/share/nvim/site/pack/packer/start/nvim-gdb/lib/gdb_wrap.sh -a /tmp/nvimgdb-sock-84NrVp/port -- gdb -q a.out",          config = <table 2>,          has_interacted = false,          is_active = false,          proxy_addr = "/tmp/nvimgdb-sock-84NrVp/port",          sock_dir = "/tmp/nvimgdb-sock-84NrVp",          win = 1051,          <metatable> = <6>{            __index = <table 6>,            _check_sticky = <function 14>,            _cleanup_buf_hidden = <function 15>,            cleanup = <function 16>,            get_buf = <function 17>,            get_proxy_addr = <function 18>,            interrupt = <function 19>,            mark_has_interacted = <function 20>,            new = <function 21>,            send_line = <function 22>,            start = <function 23>          }        },        proxy_addr = "/tmp/nvimgdb-sock-84NrVp/port",        sock = <userdata 1>,        <metatable> = <7>{          __index = <table 7>,          _ensure_connected = <function 24>,          cleanup = <function 25>,          new = <function 26>,          query = <function 27>        }      },      query_impl = <function 28>,      <metatable> = <8>{        __index = <table 8>,        _set_signs = <function 29>,        clear_signs = <function 30>,        get_for_file = <function 31>,        new = <function 32>,        query = <function 33>,        reset_signs = <function 34>      }    },    buffers = {},    client = <table 5>,    config = <table 2>,    cursor = <table 1>,    jump_win = 1000,    keymaps = {      config = <table 2>,      dispatch_active = true,      <metatable> = <9>{        __index = <table 9>,        _dispatch = <function 35>,        dispatch_set = <function 36>,        dispatch_set_t = <function 37>,        dispatch_unset = <function 38>,        new = <function 39>,        set = <function 1>,        set_dispatch_active = <function 40>,        set_t = <function 2>,        unset = <function 3>      }    },    <metatable> = <10>{      __index = <table 10>,      _adjust_jump_win_view = <function 41>,      _ensure_jump_window = <function 42>,      _has_jump_win = <function 43>,      _open_file = <function 44>,      _with_saved_mode = <function 45>,      _with_saved_win = <function 46>,      cleanup = <function 47>,      is_jump_window_active = <function 48>,      jump = <function 49>,      lopen = <function 50>,      new = <function 51>,      query_breakpoints = <function 52>,      unset_keymaps = <function 53>    }  }, ")" }
2023-01-19 17:31:53 [DEBUG] ...e/pack/packer/start/nvim-gdb/lua/nvimgdb/parser_impl.lua:30: 	{ "function ParserImpl:_init(", {    cursor = <1>{      buf = -1,      config = <2>{        config = {          codewin_command = "new",          jump_bottom_gdb_buf = true,          key_breakpoint = "<f8>",          key_continue = "<f5>",          key_eval = "<f9>",          key_finish = "<f12>",          key_framedown = "<c-n>",          key_frameup = "<c-p>",          key_next = "<f10>",          key_step = "<f11>",          key_until = "<f4>",          set_keymaps = <function 1>,          set_scroll_off = 5,          set_tkeymaps = <function 2>,          sign_breakpoint = { "●", "●²", "●³", "●⁴", "●⁵", "●⁶", "●⁷", "●⁸", "●⁹", "●ⁿ" },          sign_breakpoint_priority = 10,          sign_current_line = "▶",          sticky_dbg_buf = true,          termwin_command = "belowright new",          unset_keymaps = <function 3>        },        <metatable> = <3>{          __index = <table 3>,          _apply_overrides = <function 4>,          _check_keymap_conflicts = <function 5>,          _define_signs = <function 6>,          get = <function 7>,          get_or = <function 8>,          new = <function 9>        }      },      line = -1,      sign_id = -1,      <metatable> = <4>{        __index = <table 4>,        hide = <function 10>,        new = <function 11>,        set = <function 12>,        show = <function 13>      }    },    win = {      breakpoint = {        breaks = {},        config = <table 2>,        max_sign_id = 0,        proxy = {          client = <5>{            buf_hidden_auid = -1,            client_buf = 20,            command = "/home/lain/.local/share/nvim/site/pack/packer/start/nvim-gdb/lib/gdb_wrap.sh -a /tmp/nvimgdb-sock-84NrVp/port -- gdb -q a.out",            config = <table 2>,            has_interacted = false,            is_active = false,            proxy_addr = "/tmp/nvimgdb-sock-84NrVp/port",            sock_dir = "/tmp/nvimgdb-sock-84NrVp",            win = 1051,            <metatable> = <6>{              __index = <table 6>,              _check_sticky = <function 14>,              _cleanup_buf_hidden = <function 15>,              cleanup = <function 16>,              get_buf = <function 17>,              get_proxy_addr = <function 18>,              interrupt = <function 19>,              mark_has_interacted = <function 20>,              new = <function 21>,              send_line = <function 22>,              start = <function 23>            }          },          proxy_addr = "/tmp/nvimgdb-sock-84NrVp/port",          sock = <userdata 1>,          <metatable> = <7>{            __index = <table 7>,            _ensure_connected = <function 24>,            cleanup = <function 25>,            new = <function 26>,            query = <function 27>          }        },        query_impl = <function 28>,        <metatable> = <8>{          __index = <table 8>,          _set_signs = <function 29>,          clear_signs = <function 30>,          get_for_file = <function 31>,          new = <function 32>,          query = <function 33>,          reset_signs = <function 34>        }      },      buffers = {},      client = <table 5>,      config = <table 2>,      cursor = <table 1>,      jump_win = 1000,      keymaps = {        config = <table 2>,        dispatch_active = true,        <metatable> = <9>{          __index = <table 9>,          _dispatch = <function 35>,          dispatch_set = <function 36>,          dispatch_set_t = <function 37>,          dispatch_unset = <function 38>,          new = <function 39>,          set = <function 1>,          set_dispatch_active = <function 40>,          set_t = <function 2>,          unset = <function 3>        }      },      <metatable> = <10>{        __index = <table 10>,        _adjust_jump_win_view = <function 41>,        _ensure_jump_window = <function 42>,        _has_jump_win = <function 43>,        _open_file = <function 44>,        _with_saved_mode = <function 45>,        _with_saved_win = <function 46>,        cleanup = <function 47>,        is_jump_window_active = <function 48>,        jump = <function 49>,        lopen = <function 50>,        new = <function 51>,        query_breakpoints = <function 52>,        unset_keymaps = <function 53>      }    },    <metatable> = <11>{      __index = <table 11>,      continue_program = <function 54>,      jump_to_source = <function 55>,      new = <function 56>,      query_breakpoints = <function 57>    }  }, ")" }
2023-01-19 17:31:53 [DEBUG] ...e/pack/packer/start/nvim-gdb/lua/nvimgdb/parser_impl.lua:53: 	{ "function ParserImpl.add_trans(", {}, "[\r\n]Continuing%.", <function 1>, ")" }
2023-01-19 17:31:53 [DEBUG] ...e/pack/packer/start/nvim-gdb/lua/nvimgdb/parser_impl.lua:53: 	{ "function ParserImpl.add_trans(", { {      handler = <function 1>,      matcher = "[\r\n]Continuing%."    } }, "[\r\n]\26\26([^:]+):(%d+):%d+", <function 2>, ")" }
